SampleID	bodycondition	TotalDRmGydCs134forFUKU	ObservedASVs	ShannonIndex	FaithPD	Treatment	TreatmentAll	ApodemusSpeciesTreatment	Replicate	HostSex	Latitude	Longitude	HeadWidthmm	BodyMassg	HostState	HostSpecies	ApodemusSpecies	Study	FBratio
C294	0.516688821	0.4039	193	6.038402724	11.66772097	contaminated	contaminated	FlavicollisHOT	CH3	male	51.294682	29.642889	14.9	38.6	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.083062402
C295	-0.257228627	0.272	122	5.459891191	9.392072533	contaminated	contaminated	SylvaticusHOT	CH3	female	51.303169	29.639191	13.1	18	ad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.080763583
C298	-1.615174272	0.2776	176	5.627309772	10.85447485	contaminated	contaminated	SylvaticusHOT	CH1	female	51.39028	30.0704	12.01	10.15	juv	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.197921587
C300	-0.580453719	0.2704	198	6.163820701	12.20934959	contaminated	contaminated	FlavicollisHOT	CH1	female	51.39028	30.0704	14.46	30.32	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.288983369
C302	-1.138708986	1.5551	180	5.752124804	10.40604974	contaminated	contaminated	FlavicollisHOT	CH1	female	51.383469	30.034368	12.98	20.38	subad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.354645094
C303	-0.915663346	1.261	238	5.761987157	13.96052719	contaminated	contaminated	FlavicollisHOT	CH1	female	51.382351	30.030332	14.36	27.95	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.404022678
C304	-0.990001642	1.5009	235	5.603838121	13.08540141	contaminated	contaminated	FlavicollisHOT	CH1	female	51.383469	30.034368	14.15	26.56	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.206696318
C305	-0.234185414	1.5432	166	5.32704258	10.62813036	contaminated	contaminated	FlavicollisHOT	CH1	male	51.382351	30.030332	14.57	32.8	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.332852837
C307	0.415345424	0.7637	385	6.944962194	16.84889068	contaminated	contaminated	FlavicollisHOT	CH1	female	51.38096	30.02734	14.96	38.3	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.657771848
C310	-1.163180565	0.2662	173	5.28411278	11.7920386	contaminated	contaminated	SylvaticusHOT	CH3	male	51.303169	29.639191	13.12	13.6	subad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.110075507
C311	-0.226429602	0.4552	137	5.488609851	9.914943406	contaminated	contaminated	FlavicollisHOT	CH3	male	51.299806	29.63943	14.74	33.63	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.097626212
C312	0.336215787	0.458	104	4.784303758	8.749318829	contaminated	contaminated	FlavicollisHOT	CH3	male	51.297616	29.640897	14.75	36.88	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.046811059
C314	0.825942449	0.4797	75	4.449721936	7.509689065	contaminated	contaminated	FlavicollisHOT	CH3	female	51.299806	29.63943	15.59	43.53	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.041223671
C315	-0.157920486	0.2656	111	4.844132074	9.653682767	contaminated	contaminated	FlavicollisHOT	CH3	male	51.303169	29.639191	15.14	35.87	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.105360847
C316	-0.47890588	0.2663	152	5.886285379	10.44823126	contaminated	contaminated	FlavicollisHOT	CH3	male	51.303169	29.639191	15.18	34.23	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.097805916
C317	0.056463688	0.4574	163	4.8069122	11.34079273	contaminated	contaminated	SylvaticusHOT	CH3	female	51.297616	29.640897	13.4	20.01	ad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.515930429
C320	0.545020918	0.0044	151	5.394677861	10.83350127	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	male	51.204032	30.164203	15.21	40.19	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.219329529
C344	-0.370205544	0.0058	202	5.767063296	11.33736742	uncontaminated	uncontaminated	SylvaticusCLEAN	CL1	male	51.154074	29.977314	13.47	18.05	ad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.450057241
C345	0.050117056	0.8653	152	5.482375739	10.44785525	contaminated	contaminated	FlavicollisHOT	CH1	male	51.384119	30.035632	14.17	32.57	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.148709999
C348	-0.048710468	0.0031	141	5.535759036	10.51614176	uncontaminated	uncontaminated	FlavicollisCLEAN	CL1	male	51.13915	29.937978	14.56	33.81	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.192533459
C349	-0.743238706	0.0053	131	5.53284442	10.69213577	uncontaminated	uncontaminated	FlavicollisCLEAN	CL1	male	51.154074	29.977314	16.61	39.41	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.175116783
C350	-0.089823357	0.0031	172	5.889765067	11.82110671	uncontaminated	uncontaminated	FlavicollisCLEAN	CL1	male	51.143553	29.94994	14.92	35.24	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.280112976
C351	0.009518099	0.0094	103	4.905326807	8.583223848	uncontaminated	uncontaminated	FlavicollisCLEAN	CL2	male	51.212882	30.203623	14.67	34.65	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.07742878
C352	-0.285913808	0.0037	173	5.620327234	11.07405478	uncontaminated	uncontaminated	FlavicollisCLEAN	CL1	male	51.143553	29.94994	14.4	31.72	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.372465753
C353	1.347975101	0.2495	93	4.633233914	7.493768944	contaminated	contaminated	FlavicollisHOT	CH1	female	51.38868	30.071586	14.38	40.93	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.193320415
C357	-0.792473451	0.004	146	5.636970643	10.45815487	uncontaminated	uncontaminated	FlavicollisCLEAN	CL1	female	51.13915	29.937978	13.96	26.81	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.166088309
C360	-0.704797129	0.3797	171	5.937543078	11.0342537	contaminated	contaminated	SylvaticusHOT	CH1	male	51.407661	30.091113	13.42	16.34	subad	Sylvaticus	ApodemusSylvaticus	Chernobyl	0.469913613
C382	-1.317793405	0.6439	159	5.23666479	10.90019309	contaminated	contaminated	FlavicollisHOT	CH1	female	51.413362	30.093962	13.15	20.14	ad	Flavicollis	ApodemusFlavicollis	Chernobyl	0.231602823
F1	-0.280072592	0.1145	204	5.514532811	12.05770598	contaminated	contaminated	SpeciosusLargeHOT	FH1	male	37.57284	140.79303	15.71	42.1	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.210735123
F10	-0.838892819	0.0891	309	6.959548495	15.24059186	contaminated	contaminated	SpeciosusLargeHOT	FH2	female	37.49512	140.94138	15.76	39.57	ad	SpeciosusLarge	ApodemusSpeciosusLarge	Fukushima	0.433863924
F100	0.648746671	0.0112	369	7.181009562	17.09919812	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL2	female	37.49361	140.63568	11.79	17.21	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.789665971
F101	0.354176545	0.0109	443	7.485659041	17.84836129	uncontaminated	uncontaminated	ArgenteusSmallCLEAN	FL2	male	37.49361	140.63568	12.47	17.4	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	4.241525424
F103	-0.535042778	0.304	320	7.069186454	15.94452343	contaminated	contaminated	ArgenteusSmallHOT	FH1	female	37.59382	140.75655	13.16	15.74	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	1.399855561
F104	-0.956832646	0.2173	286	6.205552296	15.65307588	contaminated	contaminated	ArgenteusSmallHOT	FH1	female	37.59502	140.77417	12.8	13.83	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	0.263612056
F105	-0.083398262	0.2343	344	6.817037703	17.52894159	contaminated	contaminated	ArgenteusSmallHOT	FH1	male	37.59518	140.7654	12.05	15.35	ad	ArgenteusSmall	ApodemusArgenteusSmall	Fukushima	2.165609584
