SampleID	AmbientRadiation	Treatment	TreatmentAll	Replicate	HostSex	HostHeadW	HostBodyM	HostSpecies	Study
K70	0.55	uncontaminatedcontrol	uncontaminated	LS	male	11.58	20.23	MyodesGlareolus	Chernobyl
K71	0.55	uncontaminatedcontrol	uncontaminated	LS	female	12.73	26.78	MyodesGlareolus	Chernobyl
K72	0.55	uncontaminatedcontrol	uncontaminated	LS	male	12.24	24.97	MyodesGlareolus	Chernobyl
K8	0.15	uncontaminatedcontrol	uncontaminated	RS	male	11.69	18.71	MyodesGlareolus	Chernobyl
C141	0.158	uncontaminated	uncontaminated	CL2	female	14.7	45.55	ApodemusFlavicollis	Chernobyl
C143	0.158	uncontaminated	uncontaminated	CL2	female	13.48	35.02	ApodemusFlavicollis	Chernobyl
C146	0.288	uncontaminated	uncontaminated	CL2	female	15.34	48.51	ApodemusFlavicollis	Chernobyl
C147	0.26	uncontaminated	uncontaminated	CL1	male	16.37	45.1	ApodemusFlavicollis	Chernobyl
C148	0.2116565	uncontaminated	uncontaminated	CL1	male	14.16	26.84	ApodemusFlavicollis	Chernobyl
C172	0.309063	uncontaminated	uncontaminated	CL2	female	12.73	35.96	ApodemusFlavicollis	Chernobyl
C173	0.309063	uncontaminated	uncontaminated	CL2	female	13.38	34.54	ApodemusFlavicollis	Chernobyl
C174	0.184125	uncontaminated	uncontaminated	CL1	female	12.19	40.47	ApodemusFlavicollis	Chernobyl
C176	0.309063	uncontaminated	uncontaminated	CL2	male	14.77	46.78	ApodemusFlavicollis	Chernobyl
C177	0.25325	uncontaminated	uncontaminated	CL2	female	13.2	46.24	ApodemusFlavicollis	Chernobyl
C179	0.25325	uncontaminated	uncontaminated	CL2	male	14.48	29.73	ApodemusFlavicollis	Chernobyl
C185	0.175125	uncontaminated	uncontaminated	CL1	male	15.12	36.81	ApodemusFlavicollis	Chernobyl
C187	0.266313	uncontaminated	uncontaminated	CL2	male	14.84	28.13	ApodemusFlavicollis	Chernobyl
C190	0.266313	uncontaminated	uncontaminated	CL2	male	14.3	21.34	ApodemusFlavicollis	Chernobyl
C215	0.239188	uncontaminated	uncontaminated	CL1	male	14.07	40.04	ApodemusFlavicollis	Chernobyl
C216	0.274813	uncontaminated	uncontaminated	CL2	female	14.84	32.46	ApodemusFlavicollis	Chernobyl
C223	0.274813	uncontaminated	uncontaminated	CL2	female	14.77	36.32	ApodemusFlavicollis	Chernobyl
C225	0.274813	uncontaminated	uncontaminated	CL2	male	13.52	36.72	ApodemusFlavicollis	Chernobyl
C226	0.274813	uncontaminated	uncontaminated	CL2	male	14.18	34.85	ApodemusFlavicollis	Chernobyl
C233	0.241438	uncontaminated	uncontaminated	CL2	male	14.41	36	ApodemusFlavicollis	Chernobyl
C234	0.241438	uncontaminated	uncontaminated	CL2	male	16.93	58.74	ApodemusFlavicollis	Chernobyl
C236	0.241438	uncontaminated	uncontaminated	CL2	female	14.96	33.77	ApodemusFlavicollis	Chernobyl
C239	0.293813	uncontaminated	uncontaminated	CL1	male	13.18	33.82	ApodemusFlavicollis	Chernobyl
C320	0.158	uncontaminated	uncontaminated	CL2	male	15.21	40.19	ApodemusFlavicollis	Chernobyl
C348	0.12	uncontaminated	uncontaminated	CL1	male	14.56	33.81	ApodemusFlavicollis	Chernobyl
C349	0.18	uncontaminated	uncontaminated	CL1	male	16.61	39.41	ApodemusFlavicollis	Chernobyl
C350	0.12	uncontaminated	uncontaminated	CL1	male	14.92	35.24	ApodemusFlavicollis	Chernobyl
C351	0.288	uncontaminated	uncontaminated	CL2	male	14.67	34.65	ApodemusFlavicollis	Chernobyl
C352	0.12	uncontaminated	uncontaminated	CL1	male	14.4	31.72	ApodemusFlavicollis	Chernobyl
C357	0.12	uncontaminated	uncontaminated	CL1	female	13.96	26.81	ApodemusFlavicollis	Chernobyl
C240	0.3	uncontaminatedcontrol	uncontaminated	LS	male	13.2	21.2	ApodemusFlavicollis	Chernobyl
C241	0.3	uncontaminatedcontrol	uncontaminated	LS	male	13.2	19.2	ApodemusFlavicollis	Chernobyl
C242	0.3	uncontaminatedcontrol	uncontaminated	LS	male	13.6	22.1	ApodemusFlavicollis	Chernobyl
C243	0.3	uncontaminatedcontrol	uncontaminated	LS	male	14.4	29.7	ApodemusFlavicollis	Chernobyl
C244	0.3	uncontaminatedcontrol	uncontaminated	LS	female	12.9	16.4	ApodemusFlavicollis	Chernobyl
C245	0.3	uncontaminatedcontrol	uncontaminated	LS	male	13.3	20.3	ApodemusFlavicollis	Chernobyl
C249	0.3	uncontaminatedcontrol	uncontaminated	LS	male	14.2	26.8	ApodemusFlavicollis	Chernobyl
C250	0.3	uncontaminatedcontrol	uncontaminated	LS	male	13.9	22.7	ApodemusFlavicollis	Chernobyl
KC11	0.151	uncontaminatedcontrol	uncontaminated	RS	female	15.68	35.78	ApodemusFlavicollis	Chernobyl
KC13	0.151	uncontaminatedcontrol	uncontaminated	RS	male	14.72	33.79	ApodemusFlavicollis	Chernobyl
KC17	0.151	uncontaminatedcontrol	uncontaminated	RS	male	14.7	34.51	ApodemusFlavicollis	Chernobyl
KC18	0.151	uncontaminatedcontrol	uncontaminated	RS	female	15.68	39.06	ApodemusFlavicollis	Chernobyl
KC19	0.151	uncontaminatedcontrol	uncontaminated	RS	male	15.3	31.75	ApodemusFlavicollis	Chernobyl
KC21	0.151	uncontaminatedcontrol	uncontaminated	RS	female	15.39	42.27	ApodemusFlavicollis	Chernobyl
KC23	0.151	uncontaminatedcontrol	uncontaminated	RS	female	14.74	32.34	ApodemusFlavicollis	Chernobyl
KC25	0.151	uncontaminatedcontrol	uncontaminated	RS	male	14.95	35.9	ApodemusFlavicollis	Chernobyl
KC26	0.151	uncontaminatedcontrol	uncontaminated	RS	female	14.91	33.25	ApodemusFlavicollis	Chernobyl
KC27	0.151	uncontaminatedcontrol	uncontaminated	RS	female	14.91	38.45	ApodemusFlavicollis	Chernobyl
KC31	0.151	uncontaminatedcontrol	uncontaminated	RS	male	15.32	39.4	ApodemusFlavicollis	Chernobyl
KC33	0.3	uncontaminatedcontrol	uncontaminated	LS	male	15.8	36.46	ApodemusFlavicollis	Chernobyl
KC35	0.3	uncontaminatedcontrol	uncontaminated	LS	male	13.94	31.66	ApodemusFlavicollis	Chernobyl
KC36	0.3	uncontaminatedcontrol	uncontaminated	LS	female	12.87	22.03	ApodemusFlavicollis	Chernobyl
KC37	0.3	uncontaminatedcontrol	uncontaminated	LS	female	16.01	45.35	ApodemusFlavicollis	Chernobyl
KC39	0.3	uncontaminatedcontrol	uncontaminated	LS	male	15.2	29.79	ApodemusFlavicollis	Chernobyl
KC4	0.151	uncontaminatedcontrol	uncontaminated	RS	male	16.01	31.98	ApodemusFlavicollis	Chernobyl
KC40	0.3	uncontaminatedcontrol	uncontaminated	LS	male	14.82	35.43	ApodemusFlavicollis	Chernobyl
KC42	0.3	uncontaminatedcontrol	uncontaminated	LS	male	15.79	46.89	ApodemusFlavicollis	Chernobyl
KC43	0.3	uncontaminatedcontrol	uncontaminated	LS	male	15.98	33.37	ApodemusFlavicollis	Chernobyl
KC44	0.3	uncontaminatedcontrol	uncontaminated	LS	female	14.42	36.06	ApodemusFlavicollis	Chernobyl
KC6	0.151	uncontaminatedcontrol	uncontaminated	RS	female	14.42	30.64	ApodemusFlavicollis	Chernobyl
KC7	0.151	uncontaminatedcontrol	uncontaminated	RS	female	15.21	33.01	ApodemusFlavicollis	Chernobyl
C155	70.07125	contaminated	contaminated	CH1	male	15.09	35.05	ApodemusFlavicollis	Chernobyl
C157	10	contaminated	contaminated	CH1	female	14.26	32.25	ApodemusFlavicollis	Chernobyl
C160	10	contaminated	contaminated	CH1	female	12.88	33.86	ApodemusFlavicollis	Chernobyl
C163	49.12125	contaminated	contaminated	CH1	male	12.99	31.66	ApodemusFlavicollis	Chernobyl
C164	10	contaminated	contaminated	CH1	male	11.09	17.41	ApodemusFlavicollis	Chernobyl
C171	49.12125	contaminated	contaminated	CH1	female	13.56	30.31	ApodemusFlavicollis	Chernobyl
C181	13.860875	contaminated	contaminated	CH1	male	12.97	27.53	ApodemusFlavicollis	Chernobyl
C188	13.860875	contaminated	contaminated	CH1	male	15.25	32.87	ApodemusFlavicollis	Chernobyl
C189	10.4361875	contaminated	contaminated	CH1	male	14.81	35.82	ApodemusFlavicollis	Chernobyl
C193	13.860875	contaminated	contaminated	CH1	male	15.46	36.04	ApodemusFlavicollis	Chernobyl
C194	13.860875	contaminated	contaminated	CH1	male	14.93	36.37	ApodemusFlavicollis	Chernobyl
C200	10	contaminated	contaminated	CH1	male	13.45	17.87	ApodemusFlavicollis	Chernobyl
